TagNO,Description,Trip Level,High/Low,Date,Time
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,0,27-01-2023,10:44:04
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,27-01-2023,10:44:06
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,27-01-2023,10:44:08
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,27-01-2023,10:44:10
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,27-01-2023,10:44:12
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,27-01-2023,10:44:14
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,0,27-01-2023,10:44:16
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,1,27-01-2023,10:44:18
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,27-01-2023,10:44:20
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,0,27-01-2023,10:44:22
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,27-01-2023,10:44:24
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,0,27-01-2023,10:44:26
LDLT1001,Lower Deck Level Transmitter Vessel2,HH,0,27-01-2023,10:44:28
LDTT1001,Lower Deck Temperature sensor Vessel2,HH,1,27-01-2023,10:44:30
LDPT3000,Lowe Deck Pressure Transmitter Pump1,HH,1,27-01-2023,10:44:32
LDTT3000,Lower Deck Temperature Sensor Pump1,HH,1,27-01-2023,10:44:34
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,27-01-2023,11:15:00
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,27-01-2023,11:15:02
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,0,27-01-2023,11:15:04
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,0,27-01-2023,11:15:06
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,27-01-2023,11:15:08
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,27-01-2023,11:15:10
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,1,27-01-2023,11:15:12
LDTT2003,Lower Deck Temperature Sensor Valve4,HH,0,27-01-2023,11:15:14
LDPT1000,Lower Deck Pressure Transmitter Vessel1,HH,1,27-01-2023,11:15:16
LDLT1000,Lower Deck Level Transmitter Vessel1,HH,1,27-01-2023,11:15:18
LDTT1000,Lower Deck Temperature Sensor Vessel1,HH,1,27-01-2023,11:15:20
LDPT1001,Lower Deck Pressure Transmitter Vessel2,HH,1,27-01-2023,11:15:22
LDLT1001,Lower Deck Level Transmitter Vessel2,HH,1,27-01-2023,11:15:24
LDPT2000,Lower Deck Pressure Transmitter Valve1,HH,1,27-01-2023,11:19:43
LDTT2000,Lower Deck Temperature Sensor Valve1,HH,0,27-01-2023,11:19:45
LDPT2001,Lowe Deck Pressure Transmitetr Valve2,HH,1,27-01-2023,11:19:47
LDTT2001,Lower Deck Temperature Sensor Valve2,HH,1,27-01-2023,11:19:49
LDPT2002,Lower Deck Pressure Transmitter Valve3,HH,1,27-01-2023,11:19:51
LDTT2002,Lower Deck Temperature Sensor Valve3,HH,1,27-01-2023,11:19:53
LDPT2003,Lower Deck Pressure Transmitter Valve4,HH,1,27-01-2023,11:19:55
