TagNO,Description,Trip Level,High/Low,Date,Time
LDSD6634,Lower Deck Smoke Detector,HH,0,19-01-2023,10:20:26
LDHV4563,Lower Deck HVAC B,H,1,19-01-2023,10:20:31
EDMO6783,East Deck Motor B Coolant Level,H,1,19-01-2023,10:20:36
LDSD6634,Lower Deck Smoke Detector,HH,0,19-01-2023,10:20:40
EDHV4565,East Deck HVAC B,H,0,19-01-2023,10:20:45
EDMO6783,East Deck Motor B Coolant Level,H,0,19-01-2023,10:20:49
EDMO6783,East Deck Motor B Coolant Level,LL,0,19-01-2023,10:20:50
LDHV4563,Lower Deck HVAC B,H,1,19-01-2023,10:20:52
LDFD6535,Lower Deck Fire Detector ,HH,1,19-01-2023,10:20:53
EDMO6783,East Deck Motor B Coolant Level,LL,0,19-01-2023,10:20:54
EDSD6637,East Deck Smoke Detector,HH,0,19-01-2023,10:20:55
EDMO6783,East Deck Motor B Coolant Level,LL,0,19-01-2023,10:30:27
EDMO6783,East Deck Motor B Coolant Level,L,0,19-01-2023,10:30:32
EDMO6782,East Deck Motor A Coolant Level,H,0,19-01-2023,10:30:34
EDMO6783,East Deck Motor B Coolant Level,H,1,19-01-2023,10:30:37
LDSD6635,Lower Deck Smoke Detector,HH,1,19-01-2023,10:30:41
LDFD6535,Lower Deck Fire Detector ,HH,1,19-01-2023,10:30:43
EDHV4565,East Deck HVAC B,H,0,19-01-2023,10:30:44
LDFD6535,Lower Deck Fire Detector ,HH,0,19-01-2023,10:30:48
LDHV4563,Lower Deck HVAC B,H,1,19-01-2023,10:30:52
LDHV4563,Lower Deck HVAC B,H,1,19-01-2023,10:30:53
EDMO6782,East Deck Motor A Coolant Level,H,1,19-01-2023,10:30:55
EDMO6782,East Deck Motor A Coolant Level,H,0,19-01-2023,10:30:56
LDSD6634,Lower Deck Smoke Detector,HH,0,19-01-2023,10:31:01
EDSD6637,East Deck Smoke Detector,HH,1,19-01-2023,10:31:06
EDMO6782,East Deck Motor A Coolant Level,H,0,19-01-2023,11:01:27
EDMO6782,East Deck Motor A Coolant Level,H,1,19-01-2023,11:01:29
